Proj,ID,Entity,Entity_chn,Time,Startmilage,Endmilage,Length,Thickness,Geometry,Physics,State,Rule,Behavior
S2R,PRES1,Shotcrete,初喷混凝土,2020/8/28,6988.1,6994.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES2,Shotcrete,初喷混凝土,2020/8/27,6982.1,6988.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES3,Shotcrete,初喷混凝土,2020/8/26,6977.1,6982.1,5,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES4,Shotcrete,初喷混凝土,2020/8/25,6972.1,6977.1,5,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES5,Shotcrete,初喷混凝土,2020/8/24,6966.1,6972.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES6,Shotcrete,初喷混凝土,2020/8/23,6960.1,6966.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES7,Shotcrete,初喷混凝土,2020/8/22,6954.1,6960.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES8,Shotcrete,初喷混凝土,2020/8/21,6949.1,6954.1,5,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES9,Shotcrete,初喷混凝土,2020/8/20,6943.1,6949.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES10,Shotcrete,初喷混凝土,2020/8/19,6937.1,6943.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES11,Shotcrete,初喷混凝土,2020/8/18,6932.1,6937.1,5,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES12,Shotcrete,初喷混凝土,2020/8/17,6926.1,6932.1,6,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES13,Shotcrete,初喷混凝土,2020/8/16,6880.3,6926.1,45.8,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES14,Shotcrete,初喷混凝土,2020/8/4,6877.3,6880.3,3,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES15,Shotcrete,初喷混凝土,2020/8/3,6874.8,6877.3,2.5,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES16,Shotcrete,初喷混凝土,2020/8/2,6872.4,6874.8,2.4,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES17,Shotcrete,初喷混凝土,2020/8/1,6870,6872.4,2.4,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES18,Shotcrete,初喷混凝土,2020/7/31,6868,6870,2,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES19,Shotcrete,初喷混凝土,2020/7/30,6867,6868,1,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
S2R,PRES20,Shotcrete,初喷混凝土,2020/7/29,6866,6867,1,22cm,NA,C25早强混凝土,Construction_completed,NA,NA
